"","Availability of education/training for assistive technology","Availability of education/training for assistive technology","Availability of education/training for assistive technology","Availability of education/training for assistive technology","Availability of education/training for assistive technology","Availability of education/training for assistive technology","Availability of education/training for assistive technology"
""," Summary"," Training related to Cognition"," Training related to Communication"," Training related to Hearing"," Training related to Mobility"," Training related to Self-care"," Training related to Vision"
"Countries, territories and areas"," 2021"," 2021"," 2021"," 2021"," 2021"," 2021"," 2021"
"Afghanistan","No information","Information not available","Information not available","Information not available","Information not available","Information not available","Information not available"
"Antigua and Barbuda","Partial coverage","No","No","Yes","Yes","Information not available","Yes"
"Australia","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Azerbaijan","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Bahrain","No information","Information not available","Information not available","Information not available","Information not available","Information not available","Information not available"
"Belgium","No information","Information not available","Information not available","Information not available","Information not available","Information not available","Information not available"
"Benin","No coverage","No","No","No","No","No","No"
"Bhutan","Partial coverage","No","No","Yes","Yes","No","Yes"
"Brazil","Partial coverage","Information not available","Yes","Yes","Yes","Information not available","Yes"
"Brunei Darussalam","Partial coverage","Information not available","Yes","Yes","Yes","Yes","Yes"
"Burkina Faso","No coverage","No","No","No","No","No","No"
"Burundi","No coverage","No","No","No","No","No","No"
"Cabo Verde","No coverage","No","No","No","No","No","No"
"Canada","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Chad","No coverage","No","No","No","No","No","No"
"Chile","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Costa Rica","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Croatia","No information","Information not available","Information not available","Information not available","Information not available","Information not available","No"
"Czechia","Partial coverage","Information not available","Information not available","Yes","Information not available","Information not available","Yes"
"Democratic Republic of the Congo","Partial coverage","No","No","No","Yes","No","No"
"Djibouti","No information","Information not available","Information not available","Information not available","Information not available","Information not available","Information not available"
"Dominican Republic","Partial coverage","No","Yes","No","Yes","No","Yes"
"Estonia","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Eswatini","No coverage","No","No","No","No","No","No"
"Gambia","Partial coverage","Yes","Yes","Yes","Information not available","Yes","Yes"
"Georgia","No coverage","No","No","No","No","No","No"
"Guatemala","Partial coverage","Information not available","Information not available","Information not available","Yes","Yes","Yes"
"Iran (Islamic Republic of)","Partial coverage","No","No","Yes","Yes","No","Yes"
"Iraq","Partial coverage","Information not available","Information not available","Yes","Yes","Information not available","Information not available"
"Italy","Partial coverage","No","No","Yes","Yes","No","Yes"
"Jordan","Partial coverage","Yes","Yes","Yes","Yes","Information not available","Yes"
"Kenya","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Malawi","Partial coverage","No","No","No","No","No","Yes"
"Maldives","No coverage","No","No","No","No","No","No"
"Mali","Partial coverage","Yes","Yes","Yes","Yes","Information not available","Yes"
"Mauritius","Partial coverage","Information not available","Information not available","Yes","Yes","Yes","Yes"
"Myanmar","Partial coverage","Information not available","Information not available","Yes","Yes","Yes","Yes"
"Namibia","Partial coverage","Yes","Yes","No","Yes","Yes","Yes"
"Nepal","Partial coverage","No","Yes","Yes","Yes","Yes","Yes"
"New Zealand","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Nicaragua","No information","Information not available","Information not available","Information not available","Information not available","Information not available","Information not available"
"Niger","No information","Information not available","Information not available","Information not available","Information not available","Information not available","Information not available"
"Nigeria","No information","Information not available","Information not available","Information not available","Information not available","Information not available","Information not available"
"Pakistan","Partial coverage","No","No","Yes","Yes","No","Yes"
"Paraguay","No information","Information not available","Information not available","Information not available","Information not available","Information not available","Information not available"
"Peru","No information","Information not available","Information not available","Information not available","Information not available","Information not available","Information not available"
"Poland","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Portugal","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Qatar","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Republic of Korea","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Republic of Moldova","No information","Information not available","Information not available","Information not available","Information not available","Information not available","Information not available"
"North Macedonia","Partial coverage","Information not available","Yes","Yes","Yes","Information not available","Yes"
"Rwanda","Partial coverage","No","No","Yes","Yes","Yes","Yes"
"Saint Vincent and the Grenadines","No information","Information not available","Information not available","Information not available","Information not available","Information not available","Information not available"
"San Marino","No coverage","No","No","No","No","No","No"
"Seychelles","Partial coverage","Yes","No","No","Yes","Yes","Information not available"
"Sierra Leone","Partial coverage","No","No","No","Yes","No","Yes"
"Spain","No information","No","No","Information not available","No","No","No"
"Sri Lanka","Partial coverage","Information not available","Information not available","Yes","Information not available","Information not available","Yes"
"Sudan","Partial coverage","No","No","No","Yes","No","No"
"Sweden","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Tajikistan","No coverage","No","No","No","No","No","No"
"Thailand","Partial coverage","No","No","Yes","Yes","Yes","Yes"
"Timor-Leste","No information","Information not available","Information not available","Information not available","Information not available","Information not available","Information not available"
"Togo","No information","Information not available","Information not available","Information not available","Information not available","Information not available","Information not available"
"Ukraine","Partial coverage","No","No","Yes","Yes","No","Yes"
"United Arab Emirates","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"United States of America","Total coverage","Yes","Yes","Yes","Yes","Yes","Yes"
"Zambia","Partial coverage","Information not available","Information not available","Information not available","Yes","Information not available","Information not available"
"Zimbabwe","Partial coverage","Information not available","Yes","Yes","No","Information not available","Yes"
