run,lr,gamma,ent,steps,net_arch,mean_reward,n_episodes
1,0.0007,0.99,0.0,5,"[64, 64]",17.855,2200
2,0.0003,0.99,0.01,5,"[64, 64]",79.335,1369
3,0.001,0.95,0.02,10,"[128, 128]",466.975,1157
4,0.0005,0.99,0.05,20,"[64, 64]",105.807,922
5,0.0002,0.99,0.0,5,"[128, 64]",66.547,1458
6,0.0007,0.9,0.01,5,"[64, 64]",157.057,1627
7,0.001,0.99,0.1,50,"[256, 256]",159.355,1031
8,0.0003,0.999,0.0,10,"[128, 128]",84.28,1169
9,0.0005,0.95,0.02,20,"[64, 64]",143.047,1145
10,0.0001,0.99,0.01,100,"[32, 32]",49.83,1117
