run,lr,gamma,eps_end,eps_frac,buf,batch,tau,net_arch,mean_reward,n_episodes
1,0.001,0.99,0.05,0.1,10000,64,1.0,"[64, 64]",200.962,737
2,0.0005,0.99,0.05,0.2,50000,64,1.0,"[64, 64]",336.595,881
3,0.0001,0.99,0.01,0.3,50000,128,1.0,"[128, 128]",252.69,901
4,0.001,0.95,0.1,0.2,10000,32,0.5,"[64, 64]",229.618,1043
5,0.0005,0.95,0.05,0.4,20000,64,0.5,"[128, 64]",447.0,1002
6,0.0002,0.99,0.02,0.1,100000,128,1.0,"[256, 256]",304.49,772
7,0.001,0.9,0.1,0.5,5000,32,1.0,"[64, 64]",288.058,920
8,0.0003,0.99,0.05,0.2,50000,64,0.1,"[128, 128]",248.425,1189
9,0.0001,0.999,0.01,0.3,100000,256,0.01,"[256, 128]",164.548,1178
10,0.005,0.99,0.2,0.1,10000,64,1.0,"[32, 32]",238.11,810
