run,lr,gamma,gae,ent,clip,steps,batch,net_arch,mean_reward,n_episodes
1,0.0003,0.99,0.95,0.01,0.2,2048,64,"[64, 64]",215.935,839
2,0.0001,0.99,0.95,0.0,0.2,1024,64,"[64, 64]",188.135,948
3,0.0005,0.99,0.9,0.05,0.1,512,128,"[128, 128]",328.945,701
4,0.0003,0.95,0.95,0.01,0.3,2048,64,"[128, 64]",249.955,799
5,0.001,0.99,0.98,0.0,0.2,4096,256,"[256, 256]",245.185,848
6,0.0002,0.99,0.95,0.02,0.2,1024,64,"[64, 64]",198.357,807
7,0.0003,0.9,0.8,0.1,0.4,512,32,"[64, 64]",406.788,674
8,0.0005,0.99,0.95,0.01,0.2,2048,128,"[128, 128]",263.278,755
9,0.0001,0.999,0.99,0.0,0.15,4096,64,"[256, 128]",94.482,969
10,0.001,0.95,0.9,0.05,0.3,512,64,"[32, 32]",272.212,689
